Alphabet,TableSize,Depth,Entropy
Bit,128,1,226093
Bit,128,2,218412
Bit,128,3,216579
Bit,128,4,213066
Bit,128,5,211550
Bit,128,6,209481
Bit,128,7,208403
Bit,128,8,210147
Bit,128,9,215754
Bit,128,10,215996
Bit,128,11,217450
Bit,128,12,218909
Bit,128,13,220266
Bit,128,14,218420
Bit,128,15,223737
Bit,128,16,224116
Bit,128,17,224956
Bit,128,18,226162
Bit,128,19,223702
Bit,256,1,226093
Bit,256,2,218412
Bit,256,3,216579
Bit,256,4,212914
Bit,256,5,210956
Bit,256,6,206569
Bit,256,7,205832
Bit,256,8,204262
Bit,256,9,207073
Bit,256,10,206581
Bit,256,11,210841
Bit,256,12,212675
Bit,256,13,214005
Bit,256,14,216236
Bit,256,15,220939
Bit,256,16,219796
Bit,256,17,219246
Bit,256,18,220832
Bit,256,19,222934
Bit,512,1,226093
Bit,512,2,218412
Bit,512,3,216579
Bit,512,4,212410
Bit,512,5,210519
Bit,512,6,206119
Bit,512,7,203556
Bit,512,8,200095
Bit,512,9,200934
Bit,512,10,198892
Bit,512,11,202079
Bit,512,12,205678
Bit,512,13,207567
Bit,512,14,210564
Bit,512,15,212096
Bit,512,16,216223
Bit,512,17,217346
Bit,512,18,216943
Bit,512,19,218575
Bit,1024,1,226093
Bit,1024,2,218412
Bit,1024,3,216579
Bit,1024,4,212410
Bit,1024,5,210306
Bit,1024,6,205289
Bit,1024,7,202719
Bit,1024,8,195823
Bit,1024,9,193883
Bit,1024,10,191576
Bit,1024,11,193218
Bit,1024,12,196143
Bit,1024,13,198427
Bit,1024,14,202730
Bit,1024,15,204355
Bit,1024,16,205920
Bit,1024,17,208782
Bit,1024,18,209933
Bit,1024,19,211237
Bit,2048,1,226093
Bit,2048,2,218412
Bit,2048,3,215836
Bit,2048,4,212327
Bit,2048,5,210229
Bit,2048,6,205171
Bit,2048,7,201698
Bit,2048,8,194124
Bit,2048,9,191317
Bit,2048,10,187632
Bit,2048,11,187310
Bit,2048,12,187542
Bit,2048,13,189914
Bit,2048,14,191387
Bit,2048,15,194031
Bit,2048,16,197368
Bit,2048,17,199015
Bit,2048,18,200526
Bit,2048,19,201819
Bit,4096,1,226093
Bit,4096,2,218412
Bit,4096,3,215836
Bit,4096,4,212327
Bit,4096,5,210229
Bit,4096,6,205171
Bit,4096,7,201431
Bit,4096,8,192791
Bit,4096,9,189917
Bit,4096,10,184997
Bit,4096,11,182007
Bit,4096,12,179297
Bit,4096,13,179037
Bit,4096,14,181192
Bit,4096,15,182580
Bit,4096,16,185063
Bit,4096,17,188412
Bit,4096,18,190707
Bit,4096,19,193000
Bit,8192,1,226093
Bit,8192,2,218412
Bit,8192,3,215836
Bit,8192,4,212327
Bit,8192,5,210229
Bit,8192,6,205171
Bit,8192,7,201456
Bit,8192,8,192766
Bit,8192,9,188814
Bit,8192,10,183045
Bit,8192,11,178350
Bit,8192,12,174205
Bit,8192,13,170945
Bit,8192,14,169719
Bit,8192,15,169441
Bit,8192,16,171212
Bit,8192,17,173776
Bit,8192,18,175962
Bit,8192,19,179032
Bit,16384,1,226093
Bit,16384,2,218412
Bit,16384,3,215836
Bit,16384,4,212327
Bit,16384,5,210229
Bit,16384,6,205171
Bit,16384,7,201240
Bit,16384,8,192627
Bit,16384,9,188729
Bit,16384,10,182589
Bit,16384,11,176790
Bit,16384,12,171026
Bit,16384,13,166324
Bit,16384,14,161986
Bit,16384,15,159874
Bit,16384,16,159673
Bit,16384,17,160350
Bit,16384,18,162326
Bit,16384,19,164680
Bit,32768,1,226093
Bit,32768,2,218412
Bit,32768,3,215836
Bit,32768,4,212327
Bit,32768,5,210229
Bit,32768,6,205171
Bit,32768,7,201221
Bit,32768,8,192426
Bit,32768,9,187564
Bit,32768,10,182026
Bit,32768,11,176029
Bit,32768,12,170155
Bit,32768,13,164231
Bit,32768,14,158853
Bit,32768,15,154558
Bit,32768,16,151754
Bit,32768,17,151046
Bit,32768,18,150837
Bit,32768,19,151956
Bit,65536,1,226093
Bit,65536,2,218412
Bit,65536,3,215836
Bit,65536,4,212327
Bit,65536,5,210229
Bit,65536,6,205171
Bit,65536,7,201221
Bit,65536,8,192426
Bit,65536,9,187552
Bit,65536,10,181700
Bit,65536,11,175288
Bit,65536,12,169319
Bit,65536,13,162990
Bit,65536,14,157619
Bit,65536,15,151879
Bit,65536,16,148081
Bit,65536,17,146127
Bit,65536,18,144807
Bit,65536,19,144600
Bit,131072,1,226093
Bit,131072,2,218412
Bit,131072,3,215836
Bit,131072,4,212327
Bit,131072,5,210229
Bit,131072,6,205171
Bit,131072,7,201065
Bit,131072,8,192481
Bit,131072,9,187559
Bit,131072,10,181567
Bit,131072,11,175107
Bit,131072,12,168967
Bit,131072,13,162523
Bit,131072,14,156957
Bit,131072,15,150935
Bit,131072,16,146635
Bit,131072,17,144098
Bit,131072,18,142162
Bit,131072,19,141197
Bit,262144,1,226093
Bit,262144,2,218412
Bit,262144,3,215836
Bit,262144,4,212327
Bit,262144,5,210229
Bit,262144,6,205171
Bit,262144,7,201065
Bit,262144,8,192481
Bit,262144,9,187537
Bit,262144,10,181459
Bit,262144,11,174874
Bit,262144,12,168874
Bit,262144,13,162413
Bit,262144,14,156614
Bit,262144,15,150532
Bit,262144,16,145928
Bit,262144,17,143158
Bit,262144,18,140890
Bit,262144,19,139678
Bit,524288,1,226093
Bit,524288,2,218412
Bit,524288,3,215836
Bit,524288,4,212327
Bit,524288,5,210229
Bit,524288,6,205171
Bit,524288,7,201065
Bit,524288,8,192481
Bit,524288,9,187537
Bit,524288,10,181453
Bit,524288,11,174826
Bit,524288,12,168782
Bit,524288,13,162260
Bit,524288,14,156530
Bit,524288,15,150271
Bit,524288,16,145586
Bit,524288,17,142785
Bit,524288,18,140362
Bit,524288,19,139104
Bit,1048576,1,226093
Bit,1048576,2,218412
Bit,1048576,3,215836
Bit,1048576,4,212327
Bit,1048576,5,210229
Bit,1048576,6,205171
Bit,1048576,7,201065
Bit,1048576,8,192481
Bit,1048576,9,187507
Bit,1048576,10,181396
Bit,1048576,11,174820
Bit,1048576,12,168768
Bit,1048576,13,162201
Bit,1048576,14,156456
Bit,1048576,15,150129
Bit,1048576,16,145343
Bit,1048576,17,142477
Bit,1048576,18,140148
Bit,1048576,19,138877
Bit,2097152,1,226093
Bit,2097152,2,218412
Bit,2097152,3,215836
Bit,2097152,4,212327
Bit,2097152,5,210229
Bit,2097152,6,205171
Bit,2097152,7,201065
Bit,2097152,8,192481
Bit,2097152,9,187507
Bit,2097152,10,181396
Bit,2097152,11,174820
Bit,2097152,12,168755
Bit,2097152,13,162195
Bit,2097152,14,156462
Bit,2097152,15,150089
Bit,2097152,16,145253
Bit,2097152,17,142404
Bit,2097152,18,140120
Bit,2097152,19,138824
Bit,4194304,1,226093
Bit,4194304,2,218412
Bit,4194304,3,215836
Bit,4194304,4,212327
Bit,4194304,5,210229
Bit,4194304,6,205171
Bit,4194304,7,201065
Bit,4194304,8,192431
Bit,4194304,9,187493
Bit,4194304,10,181388
Bit,4194304,11,174821
Bit,4194304,12,168745
Bit,4194304,13,162198
Bit,4194304,14,156451
Bit,4194304,15,150081
Bit,4194304,16,145251
Bit,4194304,17,142383
Bit,4194304,18,140037
Bit,4194304,19,138764
Bit,8388608,1,226093
Bit,8388608,2,218412
Bit,8388608,3,215836
Bit,8388608,4,212327
Bit,8388608,5,210229
Bit,8388608,6,205171
Bit,8388608,7,201065
Bit,8388608,8,192431
Bit,8388608,9,187493
Bit,8388608,10,181388
Bit,8388608,11,174821
Bit,8388608,12,168745
Bit,8388608,13,162197
Bit,8388608,14,156435
Bit,8388608,15,150069
Bit,8388608,16,145236
Bit,8388608,17,142345
Bit,8388608,18,140019
Bit,8388608,19,138739
Bit,16777216,1,226093
Bit,16777216,2,218412
Bit,16777216,3,215836
Bit,16777216,4,212327
Bit,16777216,5,210229
Bit,16777216,6,205171
Bit,16777216,7,201065
Bit,16777216,8,192431
Bit,16777216,9,187493
Bit,16777216,10,181388
Bit,16777216,11,174819
Bit,16777216,12,168743
Bit,16777216,13,162197
Bit,16777216,14,156433
Bit,16777216,15,150065
Bit,16777216,16,145238
Bit,16777216,17,142343
Bit,16777216,18,140008
Bit,16777216,19,138730
Byte,128,1,173438
Byte,128,2,173791
Byte,128,3,180254
Byte,128,4,183450
Byte,128,5,182776
Byte,128,6,183634
Byte,128,7,182864
Byte,128,8,184138
Byte,128,9,188516
Byte,128,10,189248
Byte,128,11,189191
Byte,128,12,190924
Byte,128,13,190121
Byte,128,14,188461
Byte,128,15,189942
Byte,128,16,188931
Byte,128,17,189518
Byte,128,18,189530
Byte,128,19,190510
Byte,256,1,174387
Byte,256,2,177057
Byte,256,3,177235
Byte,256,4,179046
Byte,256,5,180437
Byte,256,6,181344
Byte,256,7,182674
Byte,256,8,185284
Byte,256,9,184880
Byte,256,10,186072
Byte,256,11,186632
Byte,256,12,187418
Byte,256,13,189838
Byte,256,14,190434
Byte,256,15,190228
Byte,256,16,193094
Byte,256,17,191556
Byte,256,18,192766
Byte,256,19,192416
Byte,512,1,174387
Byte,512,2,178156
Byte,512,3,177059
Byte,512,4,177223
Byte,512,5,177551
Byte,512,6,177917
Byte,512,7,178328
Byte,512,8,181717
Byte,512,9,181046
Byte,512,10,183343
Byte,512,11,183973
Byte,512,12,185213
Byte,512,13,188379
Byte,512,14,190828
Byte,512,15,189087
Byte,512,16,189632
Byte,512,17,191327
Byte,512,18,192901
Byte,512,19,193428
Byte,1024,1,174390
Byte,1024,2,179263
Byte,1024,3,178222
Byte,1024,4,177714
Byte,1024,5,177417
Byte,1024,6,177624
Byte,1024,7,177347
Byte,1024,8,178220
Byte,1024,9,178456
Byte,1024,10,179573
Byte,1024,11,179185
Byte,1024,12,180481
Byte,1024,13,179739
Byte,1024,14,180490
Byte,1024,15,182547
Byte,1024,16,182728
Byte,1024,17,184338
Byte,1024,18,185094
Byte,1024,19,185714
Byte,2048,1,174390
Byte,2048,2,179896
Byte,2048,3,178995
Byte,2048,4,178678
Byte,2048,5,178367
Byte,2048,6,177873
Byte,2048,7,177362
Byte,2048,8,177448
Byte,2048,9,177288
Byte,2048,10,177435
Byte,2048,11,177845
Byte,2048,12,177811
Byte,2048,13,178052
Byte,2048,14,178060
Byte,2048,15,177645
Byte,2048,16,178296
Byte,2048,17,178625
Byte,2048,18,178570
Byte,2048,19,179640
Byte,4096,1,174390
Byte,4096,2,180130
Byte,4096,3,179544
Byte,4096,4,178952
Byte,4096,5,178518
Byte,4096,6,178194
Byte,4096,7,177697
Byte,4096,8,177445
Byte,4096,9,177269
Byte,4096,10,176956
Byte,4096,11,176799
Byte,4096,12,176637
Byte,4096,13,176573
Byte,4096,14,176542
Byte,4096,15,176452
Byte,4096,16,176526
Byte,4096,17,176491
Byte,4096,18,176407
Byte,4096,19,177324
Byte,8192,1,174390
Byte,8192,2,179811
Byte,8192,3,179940
Byte,8192,4,179570
Byte,8192,5,179250
Byte,8192,6,179017
Byte,8192,7,178629
Byte,8192,8,178405
Byte,8192,9,178213
Byte,8192,10,178000
Byte,8192,11,177827
Byte,8192,12,177629
Byte,8192,13,177487
Byte,8192,14,177317
Byte,8192,15,177206
Byte,8192,16,177110
Byte,8192,17,177031
Byte,8192,18,176943
Byte,8192,19,176794
Byte,16384,1,174390
Byte,16384,2,180453
Byte,16384,3,179898
Byte,16384,4,179679
Byte,16384,5,179495
Byte,16384,6,179852
Byte,16384,7,179586
Byte,16384,8,179406
Byte,16384,9,179261
Byte,16384,10,179101
Byte,16384,11,178957
Byte,16384,12,178752
Byte,16384,13,178569
Byte,16384,14,178409
Byte,16384,15,178272
Byte,16384,16,178152
Byte,16384,17,178051
Byte,16384,18,177981
Byte,16384,19,177902
Byte,32768,1,174390
Byte,32768,2,180483
Byte,32768,3,180504
Byte,32768,4,179834
Byte,32768,5,180315
Byte,32768,6,180221
Byte,32768,7,180050
Byte,32768,8,179955
Byte,32768,9,179836
Byte,32768,10,179713
Byte,32768,11,179633
Byte,32768,12,179483
Byte,32768,13,179360
Byte,32768,14,179238
Byte,32768,15,179118
Byte,32768,16,179029
Byte,32768,17,178947
Byte,32768,18,178872
Byte,32768,19,178793
Byte,65536,1,174390
Byte,65536,2,180483
Byte,65536,3,180024
Byte,65536,4,179988
Byte,65536,5,180491
Byte,65536,6,179880
Byte,65536,7,179781
Byte,65536,8,180304
Byte,65536,9,180223
Byte,65536,10,180153
Byte,65536,11,180107
Byte,65536,12,179999
Byte,65536,13,179916
Byte,65536,14,179819
Byte,65536,15,179743
Byte,65536,16,179691
Byte,65536,17,179652
Byte,65536,18,179602
Byte,65536,19,179544
Byte,131072,1,174390
Byte,131072,2,180483
Byte,131072,3,180026
Byte,131072,4,180581
Byte,131072,5,180546
Byte,131072,6,180529
Byte,131072,7,179914
Byte,131072,8,180463
Byte,131072,9,179833
Byte,131072,10,180366
Byte,131072,11,180346
Byte,131072,12,179689
Byte,131072,13,179647
Byte,131072,14,180162
Byte,131072,15,179524
Byte,131072,16,180073
Byte,131072,17,180053
Byte,131072,18,180021
Byte,131072,19,179418
Byte,262144,1,174390
Byte,262144,2,180483
Byte,262144,3,180011
Byte,262144,4,180002
Byte,262144,5,180601
Byte,262144,6,180593
Byte,262144,7,179987
Byte,262144,8,179957
Byte,262144,9,179936
Byte,262144,10,179914
Byte,262144,11,179907
Byte,262144,12,179888
Byte,262144,13,179867
Byte,262144,14,180408
Byte,262144,15,179806
Byte,262144,16,180369
Byte,262144,17,180354
Byte,262144,18,180338
Byte,262144,19,179747
Byte,524288,1,174390
Byte,524288,2,180508
Byte,524288,3,180635
Byte,524288,4,180057
Byte,524288,5,180619
Byte,524288,6,180058
Byte,524288,7,180621
Byte,524288,8,180596
Byte,524288,9,180006
Byte,524288,10,179994
Byte,524288,11,179986
Byte,524288,12,179975
Byte,524288,13,179964
Byte,524288,14,180520
Byte,524288,15,179928
Byte,524288,16,180499
Byte,524288,17,179911
Byte,524288,18,179905
Byte,524288,19,179894
Byte,1048576,1,174390
Byte,1048576,2,180508
Byte,1048576,3,180057
Byte,1048576,4,180636
Byte,1048576,5,180041
